2018/02/27 11:39:30 INFO  - jmeter.util.JMeterUtils: Setting Locale to en_US 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: Loading user properties from: F:\Seibels\jmeter-testproject\target\jmeter\bin\user.properties 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: Loading system properties from: F:\Seibels\jmeter-testproject\target\jmeter\bin\system.properties 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: Copyright (c) 1998-2013 The Apache Software Foundation 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: Version 2.10 r1533061 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: java.version=1.8.0_40 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: os.name=Windows 7 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: os.arch=amd64 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: os.version=6.1 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: file.encoding=Cp1252 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: Default Locale=English (United States) 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: JMeter  Locale=English (United States) 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: JMeterHome=F:\Seibels\jmeter-testproject\target\jmeter 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: user.dir  =F:\Seibels\jmeter-testproject\target\jmeter\bin 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: PWD       =F:\Seibels\jmeter-testproject\target\jmeter\bin 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: IP: 192.168.190.203 Name: LGDN13411-W7 FullName: LGDN13411-W7.logigear.com 
2018/02/27 11:39:31 INFO  - jmeter.services.FileServer: Default base='F:\Seibels\jmeter-testproject\target\jmeter\bin' 
2018/02/27 11:39:31 INFO  - jmeter.services.FileServer: Set new base='F:\Seibels\jmeter-testproject\target\jmeter\testFiles' 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: Loading file: F:\Seibels\jmeter-testproject\target\jmeter\testFiles\Blaze_Demo.jmx 
2018/02/27 11:39:31 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2018/02/27 11:39:31 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2018/02/27 11:39:31 INFO  - jmeter.save.SaveService: Using SaveService properties version 3.1 
2018/02/27 11:39:31 WARN  - jmeter.save.SaveService: Bad _version - expected 2.5, found 3.1. 
2018/02/27 11:39:31 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2018/02/27 11:39:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2018/02/27 11:39:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2018/02/27 11:39:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2018/02/27 11:39:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2018/02/27 11:39:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2018/02/27 11:39:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2018/02/27 11:39:31 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Reuse SSL session context on subsequent iterations: true 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: Creating summariser <summary> 
2018/02/27 11:39:31 INFO  - jmeter.engine.StandardJMeterEngine: Listeners will be started after enabling running version 
2018/02/27 11:39:31 INFO  - jmeter.engine.StandardJMeterEngine: To revert to the earlier behaviour, define jmeterengine.startlistenerslater=false 
2018/02/27 11:39:31 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2018/02/27 11:39:31 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2018/02/27 11:39:31 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2018/02/27 11:39:31 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2018/02/27 11:39:31 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2018/02/27 11:39:31 WARN  - jmeter.util.JMeterUtils: ERROR! Resource string not found: [groovy_function_expression] 
2018/02/27 11:39:31 WARN  - jmeter.util.JMeterUtils: ERROR! Resource string not found: [random_multi_result_source_variable] 
2018/02/27 11:39:31 WARN  - jmeter.util.JMeterUtils: ERROR! Resource string not found: [random_multi_result_target_variable] 
2018/02/27 11:39:31 INFO  - jmeter.JMeter: Running test (1519706371951) 
2018/02/27 11:39:31 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : Blaze Demo 
2018/02/27 11:39:31 INFO  - jmeter.engine.StandardJMeterEngine: Starting 100 threads for group Blaze Demo. 
2018/02/27 11:39:31 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2018/02/27 11:39:31 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 100 ramp-up 1 perThread 10.0 delayedStart=false 
2018/02/27 11:39:31 INFO  - jmeter.threads.JMeterThread: jmeterthread.startearlier=true (see jmeter.properties) 
2018/02/27 11:39:31 INFO  - jmeter.threads.JMeterThread: Running PostProcessors in forward order 
2018/02/27 11:39:31 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-1 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-2 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-3 
2018/02/27 11:39:32 INFO  - jmeter.protocol.http.sampler.HTTPHCAbstractImpl: Local host = LGDN13411-W7 
2018/02/27 11:39:32 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: HTTP request retry count = 1 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-5 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-4 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-6 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-7 
2018/02/27 11:39:32 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
2018/02/27 11:39:32 INFO  - jmeter.engine.StandardJMeterEngine: All thread groups have been started 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-8 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-9 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-10 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-11 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-12 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-13 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-14 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-15 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-16 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-17 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-18 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-19 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-20 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-21 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-22 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-23 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-24 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-25 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-26 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-27 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-28 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-29 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-30 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-31 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-32 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-33 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-34 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-35 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-36 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-37 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-38 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-39 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-41 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-40 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-42 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-43 
2018/02/27 11:39:32 INFO  - jmeter.protocol.http.sampler.HTTPHC4Impl: Setting up HTTPS TrustAll scheme 
2018/02/27 11:39:32 INFO  - jmeter.util.JsseSSLManager: Using default SSL protocol: TLS 
2018/02/27 11:39:32 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2018/02/27 11:39:32 INFO  - jmeter.threads.JMeterThread: Thread started: Blaze Demo 1-45 
2018/02/27 11:39:32 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2018/02/27 11:39:32 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to ISO-8859-1 
